date,cases,deaths
2020-01-03,0,0
2020-01-04,1,0
2020-01-05,1,0
2020-01-06,4,0
2020-01-07,4,0
2020-01-08,4,0
2020-01-09,4,0
2020-01-10,4,0
2020-01-11,45,1
2020-01-12,45,1
2020-01-13,50,1
2020-01-14,51,1
2020-01-15,51,1
2020-01-16,51,1
2020-01-17,56,2
2020-01-18,73,2
2020-01-19,137,3
2020-01-20,219,4
2020-01-21,312,6
2020-01-22,466,9
2020-01-23,607,17
2020-01-24,882,25
2020-01-25,1359,41
2020-01-26,2061,56
2020-01-27,2854,80
2020-01-28,4640,106
2020-01-29,6125,132
2020-01-30,7895,170
2020-01-31,9906,213
2020-02-01,12025,259
2020-02-02,14644,305
2020-02-03,17477,362
2020-02-04,20735,426
2020-02-05,24640,492
2020-02-06,28350,565
2020-02-07,31510,638
2020-02-08,34921,724
2020-02-09,37583,813
2020-02-10,40576,910
2020-02-11,43058,1018
2020-02-12,45086,1115
2020-02-13,60255,1371
2020-02-14,64332,1384
2020-02-15,66997,1528
2020-02-16,69016,1670
2020-02-17,71079,1776
2020-02-18,72984,1874
2020-02-19,74765,2012
2020-02-20,75238,2128
2020-02-21,76285,2248
2020-02-22,77401,2359
2020-02-23,78310,2461
2020-02-24,78898,2620
2020-02-25,79727,2701
2020-02-26,80662,2766
2020-02-27,81852,2806
2020-02-28,83284,2864
2020-02-29,85116,2929
2020-03-01,86726,2976
2020-03-02,89144,3051
2020-03-03,91378,3119
2020-03-04,93434,3210
2020-03-05,95829,3293
2020-03-06,99483,3398
2020-03-07,103237,3504
2020-03-08,106774,3629
2020-03-09,110741,3854
2020-03-10,115508,4066
2020-03-11,120618,4358
2020-03-12,128449,4719
2020-03-13,138003,5080
2020-03-14,148768,5548
2020-03-15,160575,5998
2020-03-16,171744,6705
2020-03-17,187906,7443
2020-03-18,207265,8310
2020-03-19,229577,9373
2020-03-20,260688,10590
2020-03-21,287925,11943
2020-03-22,314021,13656
2020-03-23,357085,15531
2020-03-24,411521,17665
2020-03-25,444433,19917
2020-03-26,502632,22686
2020-03-27,546159,25304
2020-03-28,611760,28737
2020-03-29,674621,32326
2020-03-30,733301,35669
2020-03-31,791192,39291
2020-04-01,865141,43549
2020-04-02,938420,48555
2020-04-03,1013197,53574
2020-04-04,1093042,60373
2020-04-05,1174062,66336
2020-04-06,1247444,71299
2020-04-07,1315689,76680
2020-04-08,1390801,83597
2020-04-09,1473553,90111
2020-04-10,1559040,97662
2020-04-11,1649831,104634
2020-04-12,1728863,111035
2020-04-13,1802150,116765
2020-04-14,1871585,122234
2020-04-15,1941115,128456
2020-04-16,2016730,136451
2020-04-17,2098559,148968
2020-04-18,2181845,155652
2020-04-19,2263581,162591
2020-04-20,2336096,167766
2020-04-21,2410658,173212
2020-04-22,2483653,179977
2020-04-23,2555878,186637
2020-04-24,2637329,192943
2020-04-25,2731239,198892
2020-04-26,2818333,205131
2020-04-27,2897268,209935
2020-04-28,2969540,213994
2020-04-29,3036777,219342
2020-04-30,3110226,225239
2020-05-01,3196772,231709
2020-05-02,3283904,237144
2020-05-03,3367097,245680
2020-05-04,3451729,248622
2020-05-05,3533385,250697
2020-05-06,3602931,254857
2020-05-07,3684570,261026
2020-05-08,3770984,266273
2020-05-09,3864256,272580
2020-05-10,3952447,277073
2020-05-11,4038736,281750
2020-05-12,4116009,285286
2020-05-13,4191785,289537
2020-05-14,4275017,294346
2020-05-15,4363394,299395
2020-05-16,4455741,304523
2020-05-17,4550958,309090
2020-05-18,4652108,313128
2020-05-19,4726064,316095
2020-05-20,4816662,319987
2020-05-21,4922836,324704
2020-05-22,5014185,329130
2020-05-23,5120183,333787
2020-05-24,5223918,338786
2020-05-25,5325633,342595
2020-05-26,5414118,345632
2020-05-27,5505863,349024
2020-05-28,5602398,353373
2020-05-29,5713455,358378
2020-05-30,5830292,363188
2020-05-31,5946190,367452
2020-06-01,6069439,371229
2020-06-02,6181784,374260
2020-06-03,6275018,377825
2020-06-04,6402980,382599
2020-06-05,6521042,387659
2020-06-06,6648810,393209
2020-06-07,6784973,397771
2020-06-08,6916246,401271
2020-06-09,7024599,404822
2020-06-10,7129574,408400
2020-06-11,7258336,413608
2020-06-12,7395317,418502
2020-06-13,7536374,423526
2020-06-14,7673771,427766
2020-06-15,7805888,431729
2020-06-16,7924047,435014
2020-06-17,8043437,440402
2020-06-18,8224791,445499
2020-06-19,8367562,450640
2020-06-20,8508122,455668
2020-06-21,8693002,460394
2020-06-22,8846342,464475
2020-06-23,8978341,468321
2020-06-24,9113227,472290
2020-06-25,9281419,477530
2020-06-26,9459334,482619
2020-06-27,9640536,489389
2020-06-28,9831795,493966
2020-06-29,10009904,498136
2020-06-30,10182065,502071
2020-07-01,10336720,506163
2020-07-02,10512490,510855
2020-07-03,10718593,515841
2020-07-04,10929850,520857
2020-07-05,11135754,526046
2020-07-06,11337673,530172
2020-07-07,11508628,533574
2020-07-08,11678401,537649
2020-07-09,11883364,543122
2020-07-10,12112002,548652
2020-07-11,12332171,553900
2020-07-12,12564284,559077
2020-07-13,12779533,564097
2020-07-14,12974074,567720
2020-07-15,13161561,571819
2020-07-16,13388122,577320
2020-07-17,13626144,582950
2020-07-18,13886095,589757
2020-07-19,14130827,595444
2020-07-20,14362096,600346
2020-07-21,14571934,604404
2020-07-22,14775590,608615
2020-07-23,15024062,615632
2020-07-24,15310367,625344
2020-07-25,15596547,631526
2020-07-26,15874430,637445
2020-07-27,16130538,642942
2020-07-28,16352559,647309
2020-07-29,16575936,652298
2020-07-30,16839241,658242
2020-07-31,17139440,664996
2020-08-01,17444202,671111
2020-08-02,17720768,677229
2020-08-03,17988191,683033
2020-08-04,18210774,687089
2020-08-05,18428318,692152
2020-08-06,18697149,698541
2020-08-07,18985361,705335
2020-08-08,19275116,711845
2020-08-09,19564655,718378
2020-08-10,19828959,724039
2020-08-11,20055848,728396
2020-08-12,20280728,733273
2020-08-13,20570393,740122
2020-08-14,20864519,746870
2020-08-15,21169537,756892
2020-08-16,21455718,763145
2020-08-17,21716437,768520
2020-08-18,21935435,772826
2020-08-19,22158900,777497
2020-08-20,22434649,783979
2020-08-21,22722640,790671
2020-08-22,23005256,796607
2020-08-23,23268150,802583
2020-08-24,23533845,808001
2020-08-25,23752154,812118
2020-08-26,23974393,816752
2020-08-27,24253896,823182
2020-08-28,24540873,829361
2020-08-29,24836174,835311
2020-08-30,25123160,840850
2020-08-31,25399385,846279
2020-09-01,25619540,850196
2020-09-02,25880310,854626
2020-09-03,26169587,860982
2020-09-04,26464485,867025
2020-09-05,26769360,872968
2020-09-06,27086101,878577
2020-09-07,27358190,887257
2020-09-08,27586295,893042
2020-09-09,27820271,896988
2020-09-10,28084811,901950
2020-09-11,28387809,908112
2020-09-12,28701235,913995
2020-09-13,29022977,919671
2020-09-14,29312455,924579
2020-09-15,29564052,928938
2020-09-16,29827224,933527
2020-09-17,30137263,939484
2020-09-18,30459083,945493
2020-09-19,30780168,950878
2020-09-20,31115077,956674
2020-09-21,31407605,961494
2020-09-22,31652193,965187
2020-09-23,31916997,969809
