date,cases,deaths
2020-01-03,0,0
2020-01-04,1,0
2020-01-05,1,0
2020-01-06,4,0
2020-01-07,4,0
2020-01-08,4,0
2020-01-09,4,0
2020-01-10,4,0
2020-01-11,45,1
2020-01-12,45,1
2020-01-13,50,1
2020-01-14,51,1
2020-01-15,51,1
2020-01-16,51,1
2020-01-17,56,2
2020-01-18,73,2
2020-01-19,137,3
2020-01-20,219,4
2020-01-21,312,6
2020-01-22,466,9
2020-01-23,607,17
2020-01-24,882,25
2020-01-25,1359,41
2020-01-26,2061,56
2020-01-27,2854,80
2020-01-28,4640,106
2020-01-29,6125,132
2020-01-30,7895,170
2020-01-31,9906,213
2020-02-01,12025,259
2020-02-02,14644,305
2020-02-03,17477,362
2020-02-04,20735,426
2020-02-05,24640,492
2020-02-06,28350,565
2020-02-07,31510,638
2020-02-08,34921,724
2020-02-09,37583,813
2020-02-10,40576,910
2020-02-11,43058,1018
2020-02-12,45086,1115
2020-02-13,60255,1371
2020-02-14,64332,1384
2020-02-15,66997,1528
2020-02-16,69016,1670
2020-02-17,71079,1776
2020-02-18,72984,1874
2020-02-19,74765,2012
2020-02-20,75238,2128
2020-02-21,76285,2248
2020-02-22,77401,2359
2020-02-23,78310,2461
2020-02-24,78898,2620
2020-02-25,79727,2701
2020-02-26,80662,2766
2020-02-27,81852,2806
2020-02-28,83284,2864
2020-02-29,85116,2929
2020-03-01,86726,2976
2020-03-02,89144,3051
2020-03-03,91378,3119
2020-03-04,93434,3210
2020-03-05,95829,3293
2020-03-06,99483,3398
2020-03-07,103237,3504
2020-03-08,106774,3629
2020-03-09,110741,3854
2020-03-10,115508,4066
2020-03-11,120618,4358
2020-03-12,128449,4717
2020-03-13,138003,5078
2020-03-14,148768,5546
2020-03-15,160575,5996
2020-03-16,171744,6703
2020-03-17,187906,7441
2020-03-18,207265,8308
2020-03-19,229577,9371
2020-03-20,260688,10588
2020-03-21,287925,11941
2020-03-22,314021,13654
2020-03-23,357085,15529
2020-03-24,411521,17663
2020-03-25,444433,19915
2020-03-26,502632,22684
2020-03-27,546159,25302
2020-03-28,611760,28735
2020-03-29,674621,32324
2020-03-30,733301,35667
2020-03-31,791192,39289
2020-04-01,865141,43547
2020-04-02,938420,48553
2020-04-03,1013197,53572
2020-04-04,1093042,60371
2020-04-05,1174062,66334
2020-04-06,1247444,71297
2020-04-07,1315689,76678
2020-04-08,1390801,83595
2020-04-09,1473553,90109
2020-04-10,1559040,97660
2020-04-11,1649831,104632
2020-04-12,1728863,111033
2020-04-13,1802150,116763
2020-04-14,1871585,122232
2020-04-15,1941115,128454
2020-04-16,2016730,136449
2020-04-17,2098559,148966
2020-04-18,2181845,155650
2020-04-19,2263581,162589
2020-04-20,2336096,167764
2020-04-21,2410658,173210
2020-04-22,2483653,179975
2020-04-23,2555878,186635
2020-04-24,2637329,192941
2020-04-25,2731239,198890
2020-04-26,2818333,205129
2020-04-27,2897268,209933
2020-04-28,2969540,213992
2020-04-29,3036777,219340
2020-04-30,3110226,225237
2020-05-01,3196772,231707
2020-05-02,3283904,237142
2020-05-03,3367097,245678
2020-05-04,3451729,248620
2020-05-05,3533385,250695
2020-05-06,3602931,254855
2020-05-07,3684570,261024
2020-05-08,3770984,266271
2020-05-09,3864256,272578
2020-05-10,3952447,277071
2020-05-11,4038736,281748
2020-05-12,4116009,285284
2020-05-13,4191785,289535
2020-05-14,4275017,294344
2020-05-15,4363394,299393
2020-05-16,4455741,304521
2020-05-17,4550958,309088
2020-05-18,4652108,313126
2020-05-19,4726064,316093
2020-05-20,4816662,319985
2020-05-21,4922836,324702
2020-05-22,5014185,329128
2020-05-23,5120183,333785
2020-05-24,5223918,338784
2020-05-25,5325633,342593
2020-05-26,5414118,345630
2020-05-27,5505863,349022
2020-05-28,5602398,353371
2020-05-29,5713455,358376
2020-05-30,5830292,363186
2020-05-31,5946190,367450
2020-06-01,6069439,371227
2020-06-02,6181784,374258
2020-06-03,6275018,377823
2020-06-04,6402980,382597
2020-06-05,6521042,387657
2020-06-06,6648810,393207
2020-06-07,6784973,397769
2020-06-08,6916246,401269
2020-06-09,7024599,404820
2020-06-10,7129574,408398
2020-06-11,7258336,413606
2020-06-12,7395317,418500
2020-06-13,7536374,423524
2020-06-14,7673771,427764
2020-06-15,7805888,431727
2020-06-16,7924047,435012
2020-06-17,8043437,440400
2020-06-18,8224791,445497
2020-06-19,8367562,450638
2020-06-20,8508122,455666
2020-06-21,8693002,460392
2020-06-22,8846342,464473
2020-06-23,8978341,468319
2020-06-24,9113227,472288
2020-06-25,9281419,477528
2020-06-26,9459334,482617
2020-06-27,9640536,489387
2020-06-28,9831795,493964
2020-06-29,10009904,498134
2020-06-30,10182065,502069
2020-07-01,10336720,506161
2020-07-02,10512490,510853
2020-07-03,10718593,515839
2020-07-04,10929850,520855
2020-07-05,11135754,526044
2020-07-06,11337673,530170
2020-07-07,11508628,533572
2020-07-08,11678401,537647
2020-07-09,11883364,543120
2020-07-10,12112002,548650
2020-07-11,12332171,553898
2020-07-12,12564284,559075
2020-07-13,12779533,564095
2020-07-14,12974074,567718
2020-07-15,13161561,571817
2020-07-16,13388122,577318
2020-07-17,13626144,582948
2020-07-18,13886095,589755
2020-07-19,14130827,595442
2020-07-20,14362096,600344
2020-07-21,14571934,604402
2020-07-22,14775590,608613
2020-07-23,15024062,615630
2020-07-24,15310367,625342
2020-07-25,15596547,631524
2020-07-26,15874430,637443
2020-07-27,16130538,642940
2020-07-28,16352559,647307
2020-07-29,16575936,652296
2020-07-30,16839241,658240
2020-07-31,17139440,664994
2020-08-01,17444202,671109
2020-08-02,17720768,677227
2020-08-03,17988191,683031
2020-08-04,18210774,687087
2020-08-05,18428318,692150
2020-08-06,18697149,698539
2020-08-07,18985361,705333
2020-08-08,19275116,711843
2020-08-09,19564655,718376
2020-08-10,19828959,724037
2020-08-11,20055848,728394
2020-08-12,20280728,733271
2020-08-13,20570393,740120
2020-08-14,20864519,746868
2020-08-15,21169537,756890
2020-08-16,21455718,763143
2020-08-17,21716437,768518
2020-08-18,21935435,772824
2020-08-19,22158900,777495
2020-08-20,22434649,783977
2020-08-21,22722640,790669
2020-08-22,23005256,796605
2020-08-23,23268150,802581
2020-08-24,23533845,807999
2020-08-25,23752154,812116
2020-08-26,23974393,816750
2020-08-27,24253896,823180
2020-08-28,24540873,829359
2020-08-29,24836174,835309
2020-08-30,25123160,840848
2020-08-31,25399385,846277
2020-09-01,25619540,850194
2020-09-02,25880310,854624
2020-09-03,26169587,860980
2020-09-04,26464485,867023
2020-09-05,26769360,872966
2020-09-06,27086101,878575
2020-09-07,27358190,887255
2020-09-08,27586295,893040
2020-09-09,27820271,896986
2020-09-10,28084811,901948
2020-09-11,28387809,908110
2020-09-12,28701235,913993
2020-09-13,29022977,919669
2020-09-14,29312455,924577
2020-09-15,29564052,928936
2020-09-16,29827224,933525
2020-09-17,30137263,939482
2020-09-18,30459083,945491
2020-09-19,30780168,950876
2020-09-20,31115077,956672
2020-09-21,31407605,961492
2020-09-22,31652193,965185
2020-09-23,31916997,969807
